"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","점포구분명",
"2870","대규모점포","08_25_01_P","3860000","1981386000007500006","1981-11-30","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","","0","","경기도 부천시원미동 127번지 5호","경기도 부천시 부천로90번길 51 (원미동)","","원미종합시장","2014-02-11 14:56:41","I","2018-08-31 23:59:59","그 밖의 대규모점포","181116.067821165","443358.487879995","대규모점포",
"2871","대규모점포","08_25_01_P","3860000","1984386000007500007","1984-01-12","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032 6748989","0","","경기도 부천시오정동 572호","경기도 부천시 오정로232번길 50 (오정동)","","오정종합시장","2014-02-11 14:50:07","I","2018-08-31 23:59:59","그 밖의 대규모점포","181044.340405101","447207.587112416","대규모점포",
"2872","대규모점포","08_25_01_P","3860000","1985386000007500010","1985-09-23","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","","2188.9","","경기도 부천시괴안동 167호","경기도 부천시 경인로536번길 23 (괴안동)","","동부시장","2014-02-11 14:48:45","I","2018-08-31 23:59:59","그 밖의 대규모점포","183621.08302073","442520.86386147","대규모점포",
"2873","대규모점포","08_25_01_P","3860000","1988386000007500010","1990-09-21","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032 6571234","0","","경기도 부천시심곡동 174번지 1호","경기도 부천시 부천로 7 (심곡동)","","로얄백화점","2014-02-11 14:46:17","I","2018-08-31 23:59:59","백화점","180657.771489919","442562.696376175","대규모점포",
"2874","대규모점포","08_25_01_P","3860000","1989386000007500014","1989-06-17","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032 6820273","5637.4","","경기도 부천시원종동 313번지 10  호","경기도 부천시 원종로 64 (원종동)","","부천프라자","2014-02-11 13:32:14","I","2018-08-31 23:59:59","그 밖의 대규모점포","182864.113302589","446854.100209084","대규모점포",
"2875","대규모점포","08_25_01_P","3860000","1991386000007500016","1991-12-18","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032 6721991","878.7","","경기도 부천시원종동 209번지 5호","경기도 부천시 성오로124번길 47 (원종동)","","원종중앙시장","2014-02-11 14:42:26","I","2018-08-31 23:59:59","그 밖의 대규모점포","182454.956756406","446993.732086423","대규모점포",
"2876","대규모점포","08_25_01_P","3860000","1993386000007500001","1993-04-29","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","","723.3","","경기도 부천시중동 1183호","","","중동한신코아","2014-02-11 13:30:19","I","2018-08-31 23:59:59","그 밖의 대규모점포","179540.644465229","443802.438704689","대규모점포",
"2877","대규모점포","08_25_01_P","3860000","1993386000007500003","1993-09-28","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","000000000000","675.8","","경기도 부천시중동 1181호","","","동성종합상가","2014-02-11 13:28:12","I","2018-08-31 23:59:59","그 밖의 대규모점포","179570.204103597","444123.104659843","대규모점포",
"2878","대규모점포","08_25_01_P","3860000","1994386000007500003","1994-11-15","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032 3211193","1681","","경기도 부천시상동 399호","","","신라쇼핑타운","2014-02-11 13:21:30","I","2018-08-31 23:59:59","그 밖의 대규모점포","177848.103257075","443136.694995493","대규모점포",
"2879","대규모점포","08_25_01_P","3860000","2008386012607500001","2008-01-03","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","718-1234","12833.18","420-020","경기도 부천시중동 1157번지 (주)신세계 이마트 중동점","경기도 부천시 석천로 188 (중동,(주)신세계 이마트 중동점)","","(주)신세계 이마트 중동점","2014-01-27 16:42:29","I","2018-08-31 23:59:59","대형마트","179059.890468202","444675.160533494","대규모점포",
"2880","대규모점포","08_25_01_P","3860000","2009386021207500002","2009-09-23","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","02-530-5000","23107.98","420-031","경기도 부천시 상1동 539번지 1호","경기도 부천시 송내대로 239 (상동)","","뉴코아 부천점","2014-01-27 16:57:20","I","2018-08-31 23:59:59","쇼핑센터","178411.442079953","444684.405331659","대규모점포",
"2881","대규모점포","08_25_01_P","3860000","2000386000007500001","2000-05-02","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032 6122533","0","","경기도 부천시심곡동 174번지 1   호","경기도 부천시 부천로 7 (심곡동)","","지지아나","2014-02-11 13:11:58","I","2018-08-31 23:59:59","쇼핑센터","180657.771489919","442562.696376175","대규모점포",
"2882","대규모점포","08_25_01_P","3860000","2000386000007500002","2000-07-19","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032226 2604","0","","경기도 부천시심곡동 173번지 1호","경기도 부천시 부천로 3-1 (심곡동)","","로얄(ROYAL)","2014-02-11 13:45:01","I","2018-08-31 23:59:59","쇼핑센터","180651.538092321","442519.201363166","대규모점포",
"2883","대규모점포","08_25_01_P","3860000","1996386000007500000","1996-07-05","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032 3482651","2864.9","","경기도 부천시소사본동 133번지 14  호","","","부천농축수산물 유통센터","2014-02-11 13:19:31","I","2018-08-31 23:59:59","그 밖의 대규모점포","","","대규모점포",
"2884","대규모점포","08_25_01_P","3860000","1996386000007500003","1996-12-18","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032 6102500","26.7","","경기도 부천시심곡동 175번지 6호","경기도 부천시 부천로 11 (심곡동)","","해태쇼핑","2014-02-11 13:42:36","I","2018-08-31 23:59:59","쇼핑센터","180695.690645126","442609.650907377","대규모점포",
"2885","대규모점포","08_25_01_P","3860000","1999386000007500003","1999-10-04","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032 3205000","15001.3","","경기도 부천시상동 461호","경기도 부천시 부일로 223 (상동)","","씨마1020패션쇼핑몰","2014-02-11 13:37:01","I","2018-08-31 23:59:59","쇼핑센터","178293.171843054","442988.573692305","대규모점포",
"2886","대규모점포","08_25_01_P","3860000","1999386000007500004","1999-10-20","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032 3480293","1618.89","","경기도 부천시괴안동 128번지 2   호","경기도 부천시 경인로 527 (괴안동)","","두진쇼핑","2014-02-11 13:17:03","I","2018-08-31 23:59:59","그 밖의 대규모점포","183421.497797273","442584.46085947","준대규모점포",
"2887","대규모점포","08_25_01_P","3860000","2005386012607500002","2005-02-28","2011-09-29","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032 6108000","17585.32","","경기도 부천시괴안동 129번지 1호","경기도 부천시 경인로 532 (괴안동)","","홈플러스 주식회사 부천소사점","2014-09-29 17:29:19","I","2018-08-31 23:59:59","대형마트","183505.044366024","442533.953044508","대규모점포",
"2888","대규모점포","08_25_01_P","3780000","2000378000007510009","1971-04-02","2014-03-24","04","취소/말소/만료/정지/중지","4","직권취소","","2009-06-26","2010-06-25","2010-06-26","0342 7314300","0","","경기도 성남시수정구 신흥동 4124호","","","종합시장","2014-03-24 13:10:33","I","2018-08-31 23:59:59","그 밖의 대규모점포","212889.780307968","437694.304837431","대규모점포",
"2889","대규모점포","08_25_01_P","3780000","2005378010607500003","1996-11-02","2020-04-28","04","취소/말소/만료/정지/중지","4","직권취소","","","","","0342 7101052","11371.32","","경기도 성남시분당구 정자동 211호","경기도 성남시 분당구 불정로 134 (정자동)","","이마트분당점","2020-04-28 09:51:31","U","2020-04-30 02:40:00","대형마트","210542.529800466","428535.664844133","대규모점포",
"2890","대규모점포","08_25_01_P","3780000","2008378010607500001","1995-02-28","2009-01-30","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031-704-9464","4386.43","463-827","경기도 성남시분당구 야탑동 366번지 1호","경기도 성남시 분당구 성남대로916번길 5 (야탑동)","","관보종합시장","2009-02-10 11:15:51","I","2018-08-31 23:59:59","시장","211426.820391674","434400.525152819","",
"2891","대규모점포","08_25_01_P","3050000","2006305008207500001","2006-04-24","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","0232994700","0","","서울특별시 동대문구 용두동 787호","","","건강백화점 동의보감","2014-10-29 14:57:10","I","2018-08-31 23:59:59","전문점","203258.377206168","452834.064124525","대규모점포",
"2892","대규모점포","08_25_01_P","3050000","2005305008207500001","2005-04-29","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","0222151000","1461","","서울특별시 동대문구 장안동 368번지 1호","","","바우하우스","2014-10-29 16:24:49","I","2018-08-31 23:59:59","대형마트","206325.349431713","452184.2101607","대규모점포",
"2893","대규모점포","08_25_01_P","3010000","2006301007107500002","2006-04-21","2016-12-19","04","취소/말소/만료/정지/중지","4","직권취소","","","","","02-2250-2002","13006.43","100-889","서울특별시 중구 신당동 22번지","서울특별시 중구 마장로 22 (신당동)","100-889","패션몰 유어스","2017-03-23 13:37:14","I","2018-08-31 23:59:59","그 밖의 대규모점포","200999.356221857","451654.418167327","대규모점포",
"2894","대규모점포","08_25_01_P","3990000","2001399008907500001","2001-11-28","2021-01-15","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031 558 7000","0","","경기도 남양주시 화도읍 묵현리 368번지 2호","경기도 남양주시 화도읍 경춘로 1725","","코리아마트","2021-09-13 09:24:37","U","2021-09-15 02:40:00","대형마트","224788.908585668","461612.798454074","대규모점포",
"2895","대규모점포","08_25_01_P","5540000","2009554012307500001","2009-09-15","2013-03-19","04","취소/말소/만료/정지/중지","4","직권취소","","","","","03180261234","6259.17","464-801","경기도 광주시 경안동 20번지 46호","경기도 광주시 광주대로 30 (경안동)","464-010","신세계 이마트 경기 광주점","2013-03-19 15:05:18","I","2018-08-31 23:59:59","그 밖의 대규모점포","223061.389182349","434193.70905707","대규모점포",
"2896","대규모점포","08_25_01_P","5530000","2007553016707500001","2007-01-18","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","02  575 5434","0","","경기도 화성시 마도면 쌍송리 662호","","","마도공구유통상가","2012-12-17 17:22:59","I","2020-08-05 00:23:26","전문점","181324.988086745","409385.427774213","준대규모점포",
"2897","대규모점포","08_25_01_P","3630000","2006363004107500001","2006-08-09","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","062611 8156","0","","광주광역시 광산구 쌍암동 688번지 4호 폭스존","광주광역시 광산구 앰코로 35, 폭스존 (쌍암동)","62278","폭스존 첨단점","2018-03-05 10:31:46","I","2018-08-31 23:59:59","전문점","186484.103902583","191340.95957597","대규모점포",
"2898","대규모점포","08_25_01_P","3290000","2000329000107500033","1995-12-27","2008-06-17","04","취소/말소/만료/정지/중지","4","직권취소","","","","","051 8102500","5248","","부산광역시 부산진구 부전동 535-15호","","","부산롯데호텔면세점","2008-06-17 09:51:15","I","2018-08-31 23:59:59","그 밖의 대규모점포","","","",
"2899","대규모점포","08_25_01_P","3290000","2005329001307500003","2000-02-04","2008-04-11","04","취소/말소/만료/정지/중지","4","직권취소","","","","","051 8166781","0","","부산광역시 부산진구 부전동 450호","부산광역시 부산진구 신천대로 122 (부전동)","614-876","(주)네오스포","2011-12-08 16:44:29","I","2018-08-31 23:59:59","그 밖의 대규모점포","387101.414314415","185755.075318015","대규모점포",
"2900","대규모점포","08_25_01_P","4190000","1980419007907500001","1980-11-25","2005-02-28","04","취소/말소/만료/정지/중지","4","직권취소","","","","","033 7427339","380.43","","강원도 원주시 일산동 50번지 0   호","","","지하상가","2021-09-12 16:51:46","U","2021-09-14 02:40:00","그 밖의 대규모점포","","","대규모점포",
"2901","대규모점포","08_25_01_P","3740000","1991374001107500007","1991-12-03","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031 2305505","0","","경기도 수원시팔달구 인계동 754번지 1호","경기도 수원시 팔달구 중부대로34번길 15 (인계동)","","뉴코아","2008-04-04 11:19:12","I","2020-08-05 00:23:26","백화점","201804.810108336","419164.107425875","",
"2902","대규모점포","08_25_01_P","3740000","2001374001107500004","2001-03-03","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031-221-7083","0","","경기도 수원시권선구 곡반정동 485번지 8호","","","권선종합프라자","2019-11-18 17:35:27","I","2020-08-05 00:23:26","그 밖의 대규모점포","","","대규모점포",
"2903","대규모점포","08_25_01_P","3740000","2003374001107500001","2003-02-11","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","2542040","0","","경기도 수원시팔달구 매산로1가 18호","","","수원역사(주)","2008-04-04 11:09:08","I","2020-08-05 00:23:26","백화점","199920.194662903","418246.927112644","",
"2904","대규모점포","08_25_01_P","3740000","2003374011007500001","2003-09-15","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031-229-3000","7107.75","442-140","경기도 수원시팔달구 구천동 10번지 24호 외 3필지","경기도 수원시 팔달구 수원천로231번길 3 (구천동,외 3필지)","","The SAY","2008-04-04 11:55:22","I","2020-08-05 00:23:26","쇼핑센터","201564.064855874","419154.997264151","",
"2905","대규모점포","08_25_01_P","3740000","2006374001107500001","2006-01-25","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031 2336102","3423.73","","경기도 수원시팔달구 인계동 1131호","경기도 수원시 팔달구 권광로 138 (인계동)","","세파월드","2008-05-01 14:59:04","I","2020-08-05 00:23:26","그 밖의 대규모점포","202733.785602761","417547.639611992","",
"2906","대규모점포","08_25_01_P","3740000","1993374001107500003","1993-04-24","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031 2541563","1118.02","","경기도 수원시장안구 영화동 418호","경기도 수원시 장안구 영화로25번길 22 (영화동)","","태영상가","2020-08-24 10:57:39","U","2020-08-26 02:40:00","그 밖의 대규모점포","200638.301718618","420786.247360603","대규모점포",
"2907","대규모점포","08_25_01_P","3740000","1995374001107500002","1995-04-18","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","254-7882","840.03","","경기도 수원시장안구 정자동 9번지 2호","경기도 수원시 장안구 송정로 96 (정자동)","","벽산그랜드코아","2008-04-04 15:30:10","I","2020-08-05 00:23:26","그 밖의 대규모점포","200619.970409155","421483.365555557","",
"2908","대규모점포","08_25_01_P","3740000","1995374011007500001","1995-04-18","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031-254-7882","3185","440-300","경기도 수원시장안구 정자동 9번지 2호 외 1필지","경기도 수원시 장안구 송정로 96 (정자동,외 1필지)","","벽산그랜드코아","2019-11-18 17:36:47","I","2020-08-05 00:23:26","그 밖의 대규모점포","200619.970409155","421483.365555557","대규모점포",
"2909","대규모점포","08_25_01_P","3740000","1996374001107500001","1996-03-04","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031-806-3000","9181.51","","경기도 수원시팔달구 인계동 1131호","경기도 수원시 팔달구 권광로 138 (인계동)","","세파월드","2019-11-18 17:36:01","I","2020-08-05 00:23:26","그 밖의 대규모점포","202733.785602761","417547.639611992","대규모점포",
"2910","대규모점포","08_25_01_P","3740000","2000374000007500001","2000-08-26","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","003102598124","0","440-200","경기도 수원시 장안구 조원동 896번지","경기도 수원시 장안구 경수대로 930 (조원동)","","삼성테스코(주)홈플러스 북수원점","2014-10-14 11:15:14","I","2020-08-05 00:23:26","대형마트","200709.882380059","422304.072402192","대규모점포",
"2911","대규모점포","08_25_01_P","3740000","2000374001107500024","2000-11-13","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","2163300","0","","경기도 수원시영통구 원천동 177번지 1호","경기도 수원시 영통구 중부대로 437 (원천동)","","한국까르푸(주) 원천점","2008-04-04 11:11:59","I","2020-08-05 00:23:26","쇼핑센터","205572.586871555","418683.704929064","",
"2912","대규모점포","08_25_01_P","3740000","2000374001107500025","2000-08-25","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031 2235743","9964.65","","경기도 수원시영통구 영통동 994번지 2   호","경기도 수원시 영통구 봉영로 1576 (영통동)","","삼성홈플러스영통점","2011-04-18 15:31:43","I","2020-08-05 00:23:26","그 밖의 대규모점포","206365.525651714","416652.30156114","",
"2913","대규모점포","08_25_01_P","3740000","2000374001107500026","2000-08-25","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","0312018000","16100","","경기도 수원시영통구 영통동 994번지 2호","경기도 수원시 영통구 봉영로 1576 (영통동)","","삼성테스코(주)홈플러스 영통점","2016-01-25 11:19:07","I","2020-08-05 00:23:26","대형마트","206365.525651714","416652.30156114","대규모점포",
"2914","대규모점포","08_25_01_P","3740000","2001374001107500001","2001-10-05","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031-207-1051","0","441-390","경기도 수원시 권선구 권선동 1189번지","경기도 수원시 권선구 경수대로 270 (권선동)","","(주)이마트수원점","2014-10-15 17:49:41","I","2020-08-05 00:23:26","대형마트","201782.733115582","416501.699707548","대규모점포",
"2915","대규모점포","08_25_01_P","3740000","2010374011007500001","2010-05-20","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","031- 232-8287","4055.23","441-110","경기도 수원시 권선구 세류동 1255번지 외 1필지","경기도 수원시 권선구 세권로43번길 26-6 (세류동,외 1필지)","","세류종합상가(주)","2019-11-18 17:24:54","I","2020-08-05 00:23:26","그 밖의 대규모점포","200802.325197708","417542.339695722","대규모점포",
"2916","대규모점포","08_25_01_P","3490000","2021349019107500002","2021-08-31","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","051-704-0142","787.7","","인천광역시 중구 중산동 1876-8","인천광역시 중구 하늘달빛로 90-27(중산동)","22402","롯데프레쉬 인천중산가맹점","2021-12-20 13:17:56","U","2021-12-22 02:40:00","구분없음","161018.718166721","442767.919323744","준대규모점포",
"2917","대규모점포","08_25_01_P","5670000","2015567047107500001","2011-04-01","2017-07-24","04","취소/말소/만료/정지/중지","4","직권취소","","","","","055-231-3961","72","","","경상남도 창원시 마산회원구 내서읍 상곡로 22","51218","내서농협상곡지점","2018-07-27 17:01:10","I","2021-07-02 00:23:01","구분없음","336735.622136942","194760.065788554","준대규모점포",
"2918","대규모점포","08_25_01_P","3560000","2009356006807500002","2009-12-22","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","032-560-2500","10964.68","","인천광역시 서구 마전동 1031번지 1호 롯데마트","인천광역시 서구 원당대로 581, 롯데마트 (마전동)","22637","롯데쇼핑 (주) 롯데마트 검단점","2022-12-25 14:11:24","U","2022-12-27 02:40:00","대형마트","170301.890390416","454745.482573844","대규모점포",
"2919","대규모점포","08_25_01_P","4080000","2011408014107500001","2011-05-20","2011-05-20","04","취소/말소/만료/정지/중지","4","직권취소","","","","","686-1234","10035.66","456-240","경기도 안성시 석정동 149번지 3호","경기도 안성시 중앙로 246 (석정동)","456-240","(주)이마트 안성점","2012-07-27 17:05:27","I","2018-08-31 23:59:59","대형마트","222711.793919182","390149.787207476","대규모점포",
"2920","대규모점포","08_25_01_P","5710000","2000436000907500009","1986-10-16","2004-02-19","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043 2667002","0","","충청북도 청주시 상당구 북문로2가 1309번지","충청북도 청주시 상당구 중앙로 33 (북문로2가)","360-012","후생사","2014-02-27 18:25:36","I","2018-10-04 11:12:49","그 밖의 대규모점포","243600.9188041","348872.700291747","대규모점포",
"2921","대규모점포","08_25_01_P","5710000","2000436000907500011","1989-07-05","2007-01-26","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043 2532222","0","","충청북도 청주시 상당구 남문로2가 1-2번지","","","(주)청주패밀리","2014-01-10 17:27:49","I","2018-10-04 11:12:49","백화점","","","대규모점포",
"2922","대규모점포","08_25_01_P","5710000","2000436000907500015","1993-03-30","2005-03-03","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043 2310011","0","","충청북도 청주시 흥덕구 가경동 1189번지","충청북도 청주시 흥덕구 가경로 158 (가경동, 형석1차아파트)","361-734","새한주택상가시장","2014-02-27 18:19:29","I","2018-10-04 11:12:49","그 밖의 대규모점포","239041.369922427","347639.360353286","대규모점포",
"2923","대규모점포","08_25_01_P","5710000","2000436000907500017","1996-03-08","2014-04-02","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043 2736562","0","","충청북도 청주시 서원구 사창동 261-4번지","충청북도 청주시 서원구 사직대로 140 (사창동)","","와이에스케이개발","2014-04-03 15:13:34","I","2018-10-04 11:12:49","그 밖의 대규모점포","241311.716659959","348256.458841603","대규모점포",
"2924","대규모점포","08_25_01_P","5710000","2000436000907500020","1999-06-05","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043 2301050","0","","충청북도 청주시 흥덕구 가경동 1416-2번지","","","롯데마그넷청주점","2014-05-19 16:56:05","I","2018-10-04 11:12:49","대형마트","238449.433440246","347396.698510935","대규모점포",
"2925","대규모점포","08_25_01_P","5710000","2000436000907500029","1999-06-05","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043 2301050","0","","충청북도 청주시 흥덕구 가경동 1416-2번지","","","롯데마그넷청주점","2014-04-10 16:57:24","I","2018-10-04 11:12:49","대형마트","238449.433440246","347396.698510935","대규모점포",
"2926","대규모점포","08_25_01_P","5710000","2002436000907500003","2002-09-12","2016-01-05","04","취소/말소/만료/정지/중지","4","직권취소","","","","","0431111111","0","","충청북도 청주시 상당구 용암동 1587번지","충청북도 청주시 상당구 중흥로 17 (용암동)","","주식회사글로리아","2014-02-27 18:33:01","I","2018-10-04 11:12:49","대형마트","244812.178450948","345318.85442766","대규모점포",
"2927","대규모점포","08_25_01_P","5710000","2004436000907500002","2004-02-09","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043 236 9933","11690.18","","충청북도 청주시 흥덕구 가경동 1416-3번지","충청북도 청주시 흥덕구 2순환로 1233 (가경동)","","드림플러스","2014-04-09 15:23:08","I","2018-10-04 11:12:49","백화점","238501.339424579","347307.952095035","준대규모점포",
"2928","대규모점포","08_25_01_P","5710000","2004436000907500003","2004-05-20","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043 233 8557","0","","충청북도 청주시 흥덕구 가경동 1696번지 4지구 3블럭","충청북도 청주시 흥덕구 서부로 1291 (가경동,4지구 3블럭)","","삼성테스코(주)홈플러스청주점","2014-04-10 16:51:18","I","2018-10-04 11:12:49","대형마트","239497.206513638","346120.918099259","대규모점포",
"2929","대규모점포","08_25_01_P","5710000","2008436012407500001","2008-12-04","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043 224 9650","4885.58","360-011","충청북도 청주시 상당구 북문로1가 90-1번지","충청북도 청주시 상당구 성안로 13 (북문로1가)","","씨유 쇼핑몰","2014-04-10 16:09:42","I","2018-10-04 11:12:49","그 밖의 대규모점포","243706.729688486","348414.0138691","준대규모점포",
"2930","대규모점포","08_25_01_P","5710000","2012436012407500008","2012-04-10","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043-218-3333","2034.53","360-820","충청북도 청주시 청원구 율량동 1242번지","충청북도 청주시 청원구 율봉로 131 (율량동)","360-820","(주)지에스리테일 GS수퍼 청주율량점","2018-04-05 16:28:38","I","2018-10-04 11:12:49","구분없음","243180.41296803","352003.579724036","준대규모점포",
"2931","대규모점포","08_25_01_P","5710000","2012436012407500001","2011-06-27","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","0432326580","942.45","","","충청북도 청주시 흥덕구 서현동로 20 (강서동)","361-872","롯데슈퍼 강서점","2018-04-05 16:25:09","I","2018-10-04 11:12:49","구분없음","238386.711216501","347101.987654595","준대규모점포",
"2932","대규모점포","08_25_01_P","5710000","2012436012407500009","2012-04-10","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043-265-4612","1664.77","361-816","충청북도 청주시 흥덕구 봉명동 189-1번지","충청북도 청주시 흥덕구 1순환로 576 (봉명동)","361-816","(주)지에스리테일 청주봉명점","2018-04-05 16:28:02","I","2018-10-04 11:12:49","구분없음","241169.834205813","349069.347197866","준대규모점포",
"2933","대규모점포","08_25_01_P","5710000","1997436020307500001","1997-06-09","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043-210-1051","9517","361-202","충청북도 청주시 서원구 미평동 123-1번지","충청북도 청주시 서원구 청남로 1853 (미평동)","361-202","(주)이마트청주점","2014-04-10 17:06:54","I","2018-10-04 11:12:49","대형마트","242399.096913115","344542.716935815","대규모점포",
"2934","대규모점포","08_25_01_P","5710000","2000436000907500005","1980-10-31","2014-04-02","04","취소/말소/만료/정지/중지","4","직권취소","","","","","043 2744309","0","","충청북도 청주시 서원구 사직동 265-36번지","충청북도 청주시 서원구 사운로 81 (사직동)","","삼주상가","2014-04-03 15:11:23","I","2018-10-04 11:12:49","그 밖의 대규모점포","242755.908331287","348445.48198638","대규모점포",
"2935","대규모점포","08_25_01_P","3660000","1995366001507500025","1995-10-17","2007-07-25","04","취소/말소/만료/정지/중지","4","직권취소","","","","","042 5349300","0","302-171","대전광역시 서구 갈마동 316번지 4호","대전광역시 서구  신갈마로  183 (갈마동)","302-171","코리아나프라자","2015-11-20 10:36:49","I","2018-08-31 23:59:59","쇼핑센터","232949.613611143","316644.526968028","대규모점포",
"2936","대규모점포","08_25_01_P","3660000","1995366001507525000","1995-10-17","2007-07-25","04","취소/말소/만료/정지/중지","4","직권취소","","","","","042 5349300","0","302-171","대전광역시 서구 갈마동 316번지 4호","대전광역시 서구  신갈마로  183 (갈마동)","302-171","코리아나프라자","2015-11-20 10:33:41","I","2018-08-31 23:59:59","쇼핑센터","232949.613611143","316644.526968028","대규모점포",
"2937","대규모점포","08_25_01_P","3640000","2008364008907500001","2008-01-25","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","042-606-4522","6326","300-720","대전광역시 동구 중동 318번지 1호 중앙데파트","","","중앙데파트","2010-01-13 11:24:43","I","2018-08-31 23:59:59","대형마트","238439.32948411","314486.941893639","",
"2938","대규모점포","08_25_01_P","5670000","1994528000007500002","1994-12-03","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","0551 2440700","0","","경상남도 마산시 남성동 246번지 1호","경상남도 창원시 마산합포구 해안대로 331 (남성동)","","한백마리나타운","2014-02-26 11:52:16","I","2021-07-02 00:23:01","그 밖의 대규모점포","343494.627654055","190294.066276347","대규모점포",
"2939","대규모점포","08_25_01_P","4200000","2000420001907500007","1995-06-19","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","033 6515608","0","","강원도 강릉시 포남동 1292 - 1호","","","(주)삼우주택 이태수","2012-05-24 10:07:28","I","2018-08-31 23:59:59","그 밖의 대규모점포","368408.132156805","475968.018406903","대규모점포",
"2940","대규모점포","08_25_01_P","3240000","2008324013907500001","2008-11-07","2008-11-07","04","취소/말소/만료/정지/중지","4","직권취소","","","","","3400-8000","14176","134-020","서울특별시 강동구 천호동 42번지","","","삼성테드크(주)홈플러스강동점","2011-04-28 15:00:17","I","2018-08-31 23:59:59","대형마트","212501.369116329","449282.31038379","",
"2941","대규모점포","08_25_01_P","3340000","2010334006607500001","2010-09-10","2010-09-10","04","취소/말소/만료/정지/중지","4","직권취소","","","","","209-5071","13140.93","604-811","부산광역시 사하구 괴정3동 961번지 1호","부산광역시 사하구 사하로 190 (괴정동)","","뉴코아아울렛 괴정점","2014-01-02 13:35:06","I","2018-08-31 23:59:59","쇼핑센터","381751.00317294","179575.519981971","대규모점포",
"2942","대규모점포","08_25_01_P","3340000","2000334001707500003","1976-02-28","2000-02-28","04","취소/말소/만료/정지/중지","4","직권취소","","","","","005102615597","0","","부산광역시 사하구 장림동 792-7호","부산광역시 사하구 장림번영로 24 (장림동)","604-842","장림시장","2014-01-02 10:30:08","I","2018-08-31 23:59:59","그 밖의 대규모점포","379406.514301944","177516.635795368","대규모점포",
